Month;Phase;Site;Section;Poecilia_vivipara;Astyanax_bimaculatus;Cichlasoma_orientale;Serrapinnus_heterodon;Oreochromis_niloticus;Hoplias_malabaricus;Steindachnerina_notonota;Phenacogaster_calverti;Compsura_heterura;Astyanax_fasciatus;Serrapinnus_piaba;Hemigrammus_spp;Prochilodus_brevis;Hypostomus_spp;Trachelyopterus_galeatus;Crenicichla_menezesi;Characidum_bimaculatum;Leporinus_piau;Parotocinclus_cearensis
sep_2018;non_flowing;S6;50_100;0.056625142;0.254813137;0;0;0.283125708;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S6;100_150;0.037576327;0.046970409;0;0;0.009394082;0;0;0;0;0.234852043;0.018788163;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S6;100_150;0.037576327;0.27242837;0.018788163;0;0.018788163;0.009394082;0;0;0.009394082;0.046970409;0.028182245;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S6;100_150;1.944574918;0.084546736;0;0;0.075152654;0;0;0;0;0.140911226;0.093940817;0.009394082;0.009394082;0;0;0;0;0;0
sep_2018;non_flowing;S6;150_200;0.151515152;0.606060606;0.151515152;0;0.909090909;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S6;150_200;0.151515152;0;0;0;3.03030303;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;0_50;0.027366494;0.003774689;0;0;0;0;0;0.000943672;0;0;0;0;0;0.000943672;0;0;0;0;0
sep_2018;non_flowing;S5;0_50;0;0;0.000943672;0;0;0;0;0.000943672;0;0;0;0;0;0;0;0.000943672;0.000943672;0;0
sep_2018;non_flowing;S5;0_50;0.010380394;0.000943672;0;0;0;0;0;0.005662033;0;0;0.002831017;0.002831017;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;50_100;0.013211411;0;0;0.002831017;0;0;0;0.002831017;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;50_100;0.003774689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;50_100;0.014155083;0;0.003774689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;100_150;0.001887344;0.000943672;0.003774689;0.002831017;0;0.000943672;0;0.006605705;0.059451349;0.001887344;0.000943672;0.000943672;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;100_150;0.075493776;0.002831017;0.007549378;0.001887344;0;0;0.000943672;0;0.000943672;0;0;0.000943672;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;100_150;0.017929772;0.003774689;0.006605705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;150_200;0.00849305;0.002831017;0.000943672;0.003774689;0;0;0;0.022648133;0.037746888;0.004718361;0.004718361;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;150_200;0.20100218;0;0;0.004718361;0;0.000943672;0;0.005662033;0.002831017;0.000943672;0.001887344;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S5;150_200;0.015098755;0.001887344;0.005662033;0.006605705;0;0.000943672;0;0.0169861;0.005662033;0.005662033;0.003774689;0.011324066;0;0;0;0;0;0;0
